,50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
435,,,,,,,,,,,,,,,,,,1.035323,,,,,,,,,,,,,,6f1b15bb-9940-4efe-9f09-bc941e814c06,1474,,"[48.7, 16.9]",3895086,31,,,,-1.2887975,,Right Foot,,,,"[51.8, 6.2]",,Ground Pass,,11.1400175,,,,Alejandro Grimaldo García,10336.0,,,,,,1,From Throw In,Edmond Fayçal Tapsoba,30606.0,Left Center Back,57,Bayer Leverkusen,904,['7e8e68a9-35b5-435e-bdc5-8dbd8291a4ca'],23,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:31:23.387,Pass,
436,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,d33c42f7-b589-4369-bbf1-dc2261c00e25,1480,,"[62.5, 0.1]",3895086,31,True,,,2.55359,,Left Foot,,,,"[50.8, 7.9]",,Ground Pass,,14.06165,,,,Edmond Fayçal Tapsoba,30606.0,,,,,Free Kick,1,From Free Kick,Alejandro Grimaldo García,10336.0,Left Wing Back,58,Bayer Leverkusen,904,['8c74f242-b06d-48aa-a62e-89972afc71ce'],35,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:31:35.149,Pass,
437,,,,,,,,,,,,,,,,,,0.861756,,,,,,,,,,,,,,13dbc7a5-c82b-4427-aefe-48faae403634,1482,,"[49.3, 8.6]",3895086,31,,,,1.5707964,,Left Foot,,,,"[49.3, 15.4]",,Ground Pass,,6.8,,,,Granit Xhaka,3500.0,,,,,,1,From Free Kick,Edmond Fayçal Tapsoba,30606.0,Left Center Back,58,Bayer Leverkusen,904,['5f83ea76-b19d-4b12-af60-aec090aaa283'],37,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:31:37.460,Pass,
438,,,,,,,,,,,,,,,,,,0.723483,,,,,,,,,,,,,,2daa8999-2134-401c-93e7-8cfcaf67a6fd,1485,,"[49.3, 14.6]",3895086,31,,,,-1.7561443,,Left Foot,,,,"[48.4, 9.8]",,Ground Pass,,4.883646,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,From Free Kick,Granit Xhaka,3500.0,Left Defensive Midfield,58,Bayer Leverkusen,904,['96baaa0b-15a8-4dec-ba9c-74158d3cef4f'],39,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:31:39.434,Pass,
439,,,,,,,,,,,,,,,,,,0.841031,,,,,,,,,,,,,,cf95a6e8-8b22-47fc-b973-ff2b1d976faf,1487,,"[48.4, 9.8]",3895086,31,,,,0.5016041,,Right Foot,,,,"[60.8, 16.6]",,Ground Pass,,14.142136,,,,Exequiel Alejandro Palacios,28268.0,,,,,,1,From Free Kick,Edmond Fayçal Tapsoba,30606.0,Left Center Back,58,Bayer Leverkusen,904,['4e6e5579-fa7f-4875-bfd3-352c0a5f3b2d'],40,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:31:40.158,Pass,
440,,,,,,,,,,,,,,,,,,0.588646,,,,,,,,,,,,,,ffc3441d-1ecc-4b70-b7cd-e28ccc32b990,1490,,"[60.8, 16.6]",3895086,31,,,,2.0422564,,Right Foot,,,,"[55.6, 26.8]",,Ground Pass,,11.449018,,,,Granit Xhaka,3500.0,,,,,,1,From Free Kick,Exequiel Alejandro Palacios,28268.0,Right Defensive Midfield,58,Bayer Leverkusen,904,['9e94af4f-85ee-44e5-868a-c452a2d58f56'],41,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:31:41.935,Pass,
441,,,,,,,,,,,,,,,,,,1.520315,,,,,,,,,,,,,,fcb0a753-9216-4e3f-9828-f12236df1503,1494,,"[56.0, 32.6]",3895086,31,,,,1.1402106,,Right Foot,,,,"[65.6, 53.5]",,Ground Pass,,22.999348,,,,Odilon Kossonou,27133.0,,,,,,1,From Free Kick,Granit Xhaka,3500.0,Left Defensive Midfield,58,Bayer Leverkusen,904,['5e45d88a-3088-4c90-b353-7ecf513eb07b'],43,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:31:43.793,Pass,
442,,,,,,,,,,,,,,,,,,0.660901,,,,,,,,,,,,,,e95e5f4f-5c13-4ab3-92b1-16e6486235a5,1498,,"[87.4, 54.4]",3895086,31,,,,-0.023995394,,Right Foot,,,,"[99.9, 54.1]",,Ground Pass,,12.503599,,,,Jonas Hofmann,8804.0,,,,,,1,From Free Kick,Odilon Kossonou,27133.0,Right Center Back,58,Bayer Leverkusen,904,"['4ae19395-4bf6-42de-a0ed-14ecd71b6847', '74343928-6bec-497a-b389-5091d0731320']",47,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:31:47.815,Pass,True
443,,,,,,,,,,,,,,,,,,1.302853,,,,,,,,,,,,,,3ddfbd57-7247-4b4d-83a0-1cbf83a659d8,1501,,"[99.9, 54.4]",3895086,31,,,,1.215863,,Right Foot,,,,"[105.2, 68.7]",,Ground Pass,,15.250574,,,,Jeremie Frimpong,32712.0,,,,,,1,From Free Kick,Jonas Hofmann,8804.0,Right Attacking Midfield,58,Bayer Leverkusen,904,['da98dca0-2fa3-4c3b-a06d-34d78e3867cd'],49,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:31:49.474,Pass,
444,,,,,,,,,,,,,,,,,,1.336061,,,,,,,,,,,,,,f1685b76-5320-47d2-ba07-284f936cc354,1504,,"[106.8, 68.4]",3895086,31,,,,-1.2448264,,Right Foot,True,,,"[116.4, 40.0]",,Low Pass,,29.978659,,Incomplete,,,,,,,,,1,From Free Kick,Jeremie Frimpong,32712.0,Right Wing Back,58,Bayer Leverkusen,904,['f647471b-6a26-432e-9cd6-2eec65328356'],52,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:31:52.047,Pass,
445,,,,,,,,,,,,,,,,,,2.000243,,,,,,,,,,,,,,79e628bf-4f42-48da-a1d0-779cedc88c8f,1507,,"[14.3, 44.0]",3895086,32,,,,-1.4107838,,Right Foot,,,,"[19.4, 12.4]",,Ground Pass,,32.008904,,,,Tim Siersleben,46430.0,,,,,,1,From Free Kick,Kevin Müller,9205.0,Goalkeeper,58,Bayer Leverkusen,904,['621b74c0-8647-4a1e-a24f-e12d1e506151'],12,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:32:12.418,Pass,
446,,,,,,,,,,,,,,,,,,1.548505,,,,,,,,,,,,,,f78ba5b9-335e-47ff-b714-8b006f282a03,1510,,"[37.5, 9.6]",3895086,32,,,,0.44315267,,Left Foot,,,,"[65.1, 22.7]",,Ground Pass,,30.551105,,Incomplete,,Jan-Niklas Beste,31310.0,,,,,,1,From Free Kick,Tim Siersleben,46430.0,Left Center Back,58,Bayer Leverkusen,904,"['6ad0e63e-1a71-4238-98ed-4d266f0a4fc3', 'e1878f5b-5b24-46ae-869a-441d74e6ef21']",18,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:32:18.014,Pass,
