,50_50,bad_behaviour_card,ball_receipt_outcome,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
978,,,,,,,,,,,,,,,,,,1.773363,,,,,,,,,,,,,,00567696-fdf5-43e4-bee9-d001f40ea108,3342,,"[71.3, 11.5]",3895134,81,,,,-0.7568345,,Left Foot,,,,"[78.5, 4.7]",,Ground Pass,9.903535,,,,,Marius Bülter,9133.0,,,,,,,2,From Free Kick,Anton Stach,48644.0,Center Defensive Midfield,136,Hoffenheim,175,['a09929f4-a292-4ce3-b023-bde4d3b34c52'],8,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:36:08.791,Pass,
979,,,,,,,,,,,,,,,,,,2.620551,,,,,,,,,,,,,,42a6e394-2b0d-4766-a5ea-09fb31e24e15,3346,,"[71.7, 7.8]",3895134,81,,,,2.9549785,,Right Foot,,,,"[43.1, 13.2]",,Ground Pass,29.105326,,,,,Kevin Akpoguma,13292.0,,,,,,,2,From Free Kick,Marius Bülter,9133.0,Left Wing Back,136,Hoffenheim,175,['0a44471b-b79d-4bd0-a4c9-83eb9ee7d03f'],15,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:36:15.443,Pass,
980,,,,,,,,,,,,,,,,,,1.775841,,,,,,,,,,,,,,e93d9107-d276-4c81-83e8-10560601eb8e,3348,,"[42.3, 15.0]",3895134,81,,,,1.5371956,,Right Foot,,,,"[43.1, 38.8]",,Ground Pass,23.813442,,,,,Kevin Vogt,8397.0,,,,,,,2,From Free Kick,Kevin Akpoguma,13292.0,Left Center Back,136,Hoffenheim,175,['29387d7f-d0ac-444f-807b-17580c48f432'],18,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:36:18.063,Pass,
981,,,,,,,,,,,,,,,,,,1.717046,,,,,,,,,,,,,,3a6a468d-82e8-45f0-8e39-0455ae441aae,3351,,"[43.1, 38.8]",3895134,81,,,,-1.0316716,,Right Foot,,,,"[63.5, 4.7]",,Ground Pass,39.736256,,,,,Anton Stach,48644.0,,,,,,,2,From Free Kick,Kevin Vogt,8397.0,Center Back,136,Hoffenheim,175,['ea4cd6ef-6d2f-43da-be66-455045f9c5c7'],21,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:36:21.729,Pass,
982,,,,,,,,,,,,,,,,,,1.171875,,,,,,,,,,,,,,42fb9a50-f985-486c-80c7-6ee4eeb20eff,3354,,"[63.1, 17.2]",3895134,81,,,,2.3602104,,Right Foot,,,,"[50.6, 29.6]",,Ground Pass,17.607101,,,,,Kevin Vogt,8397.0,,,,,,,2,From Free Kick,Anton Stach,48644.0,Center Defensive Midfield,136,Hoffenheim,175,['b9ee5ab0-03bd-430c-85e4-b1be7737804a'],28,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:36:28.071,Pass,
983,,,,,,,,,,,,,,,,,,1.562868,,,,,,,,,,,,,,c0e79527-450b-489c-b169-b99fb147dc26,3357,,"[50.6, 29.6]",3895134,81,,,,-1.049178,,Right Foot,,,,"[65.6, 3.5]",,Ground Pass,30.103323,,,,,Grischa Prömel,9159.0,,,,,,,2,From Free Kick,Kevin Vogt,8397.0,Center Back,136,Hoffenheim,175,['31aa5d2a-1d53-47f9-bc5f-619ec5cb540d'],30,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:36:30.664,Pass,
984,,,,,,,,,,,,,,,,,,2.434802,,,,,,,,,,,,,,78e78694-1ea3-4fcb-a495-9abad558106a,3360,,"[49.8, 9.5]",3895134,81,,,,1.631408,,Right Foot,,,,"[47.5, 47.4]",,High Pass,37.969727,,,,,Ozan Muhammed Kabak,20770.0,,,,,,,2,From Free Kick,Grischa Prömel,9159.0,Left Center Midfield,136,Hoffenheim,175,['44aff77f-5e5f-4404-b604-9f25e51392a6'],36,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:36:36.980,Pass,
985,,,,,,,,,,,,,,,,,,1.553069,,,,,,,,,,,,,,46a07a01-bf50-47e0-9b51-9737947f955b,3364,,"[57.1, 57.4]",3895134,81,,,,-2.520528,,Right Foot,,,,"[45.5, 49.1]",,Ground Pass,14.26359,,,,,Kevin Vogt,8397.0,,,,,,,2,From Free Kick,Ozan Muhammed Kabak,20770.0,Right Center Back,136,Hoffenheim,175,['83bce94a-5639-4f4b-9a79-17ff6a9268f9'],44,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:36:44.780,Pass,
986,,,,,,,,,,,,,,,,,,1.742898,,,,,,,,,,,,,,f8545040-31fd-42be-81e9-a7442dd3d669,3367,,"[48.9, 50.9]",3895134,81,,,,0.9344814,,Right Foot,,,,"[70.4, 80.0]",,High Pass,36.180935,,,Out,,Andrej Kramarić,5460.0,,,,,,,2,From Free Kick,Kevin Vogt,8397.0,Center Back,136,Hoffenheim,175,['f07e728a-56bf-4848-8a8a-e319920410d6'],47,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:36:47.533,Pass,
987,,,,,,,,,,,,,,,,,,0.990722,,,,,,,,,,,,,,63ba4283-451b-42eb-9582-83c3a6d02606,3369,,"[47.4, 0.1]",3895134,82,,,,0.70712703,,,,,,"[52.9, 4.8]",,Low Pass,7.2346387,,,,,Exequiel Alejandro Palacios,28268.0,,,,,,Throw-in,2,From Throw In,Alejandro Grimaldo García,10336.0,Left Wing Back,137,Bayer Leverkusen,904,['5d536431-beb7-45b9-8644-5cfa529faab8'],18,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:37:18.693,Pass,
