,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
1168,,,,,,,,,,,,,,,,,0.710128,,,,,,,,,,,,,,6f0e41c0-47db-4290-a6dc-7886f874fd35,4013,,"[57.2, 38.7]",3895060,86,,,,,-1.2269166,,Right Foot,,,,"[62.5, 23.9]",,Ground Pass,,15.720369,,,Granit Xhaka,3500.0,,,,,,2,From Goal Kick,Robert Andrich,9195.0,Right Defensive Midfield,165,Bayer Leverkusen,904,['8c6cfd9d-4c53-4865-b410-14faedcda1c5'],59,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:41:59.680,Pass,
1169,,,,,,,,,,,,,,,,,0.57543,,,,,,,,,,,,,,21538b10-66b7-4b97-9999-761baa7c235e,4017,,"[63.4, 21.2]",3895060,87,,,,,-0.37690926,,Left Foot,,,,"[77.8, 15.5]",,Ground Pass,,15.487091,Incomplete,,Alejandro Grimaldo García,10336.0,,,,,,2,From Goal Kick,Granit Xhaka,3500.0,Left Defensive Midfield,165,Bayer Leverkusen,904,"['10318ab2-10b0-4a58-8e63-2e14216ead0b', '8c94e548-6edd-479f-8cab-13d486bce3c3']",2,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:42:02.092,Pass,
1170,,,,,,,,,,,,,,,,,0.615361,,,,,,,,,,,,,,6a38c058-bc47-4b6b-82a8-e8d1d02f397b,4021,,"[33.2, 64.2]",3895060,87,,,,,-2.4932606,,Right Foot,,,,"[26.6, 59.2]",,Ground Pass,,8.280097,,,Marvin Friedrich,9174.0,,,,,,2,From Goal Kick,Robin Hack,11399.0,Right Wing,165,Bayer Leverkusen,904,['699cb239-5e77-4553-b3d3-b02e0ef02218'],4,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:42:04.632,Pass,
1171,,,,,,,,,,,,,,,,,3.246405,,,,,,,,,,,,,,482c90fe-eb69-4081-b16f-fb51c98ac564,4023,,"[26.8, 59.1]",3895060,87,,,,,0.79996026,,Right Foot,,,,"[47.1, 80.0]",,Ground Pass,,29.13589,Out,,Robin Hack,11399.0,,,,,,2,From Goal Kick,Marvin Friedrich,9174.0,Right Back,165,Bayer Leverkusen,904,['36874c4a-ba2a-4d2a-a1a0-9ff2684f3ebf'],5,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:42:05.247,Pass,
1172,,,,,,,,,,,,,,,,,0.845725,,,,,,,,,,,,,,7d2b219a-32f4-4b3e-bb67-32c09a0eb18f,4028,,"[79.4, 0.1]",3895060,88,,,,,2.363828,,,,,,"[72.8, 6.6]",,Low Pass,,9.263369,,,Granit Xhaka,3500.0,,,,,Throw-in,2,From Throw In,Alejandro Grimaldo García,10336.0,Left Wing Back,166,Bayer Leverkusen,904,['789adfa0-2c8b-46fe-8c60-14a6baaf2696'],1,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:01.226,Pass,
1173,,,,,,,,,,,,,,,,,0.606876,,,,,,,,,,,,,,bdb6a40b-6927-4587-94e1-18b0741d3a4a,4033,,"[72.8, 6.6]",3895060,88,,,,,-0.5260664,,Left Foot,,,,"[79.0, 3.0]",,Ground Pass,,7.169379,,,Alejandro Grimaldo García,10336.0,,,,,,2,From Throw In,Granit Xhaka,3500.0,Left Defensive Midfield,166,Bayer Leverkusen,904,['ebad93b4-3c1e-48d5-abf2-f9188791d2af'],2,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:02.144,Pass,
1174,,,,,,,,,,,,,,,,,0.316421,,,,,,,,,,,,,,2eb74758-951f-41a7-abdf-20840ff9705e,4040,,"[82.6, 8.4]",3895060,88,,,,,-3.0172377,,Left Foot,,,,"[73.8, 7.3]",,Ground Pass,,8.868484,,,Granit Xhaka,3500.0,,,,,,2,From Throw In,Alejandro Grimaldo García,10336.0,Left Back,166,Bayer Leverkusen,904,"['250d2816-6fbc-4590-9bfc-b6282accc331', '7f13f394-3598-41ac-8d5e-106ec9cf1cb5']",6,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:06.188,Pass,True
1175,,,,,,,,,,,,,,,,,2.163333,,,,,,,,,,,,,,6d7ad71a-67c3-4032-98b2-b9f0cd69ef4a,4044,,"[69.7, 5.6]",3895060,88,,,,,-3.069602,,Left Foot,,,,"[48.9, 4.1]",,Ground Pass,,20.854017,,,Edmond Fayçal Tapsoba,30606.0,,,,,,2,From Throw In,Granit Xhaka,3500.0,Left Defensive Midfield,166,Bayer Leverkusen,904,['d63f075a-7490-477d-b5d6-7d32834be5d7'],7,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:07.989,Pass,
1176,,,,,,,,,,,,,,,,,0.887923,,,,,,,,,,,,,,c16b25aa-5724-4bb9-9b10-d7f2375c9b09,4047,,"[29.6, 12.9]",3895060,88,,,,,0.88008624,,Right Foot,,,,"[37.7, 22.7]",,Ground Pass,,12.714166,,,Granit Xhaka,3500.0,,,,,,2,From Throw In,Edmond Fayçal Tapsoba,30606.0,Left Center Back,166,Bayer Leverkusen,904,['9e0fb9d0-b1ac-47f0-818e-c98f27ae1dac'],13,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:13.616,Pass,
1177,,,,,,,,,,,,,,,,,1.368171,,,,,,,,,,,,,,f32484db-a8f1-4fad-93c3-5d3d3163e1c7,4050,,"[37.7, 22.7]",3895060,88,,,,,-0.8488051,,Left Foot,,,,"[49.5, 9.3]",,Ground Pass,,17.85497,,,Robert Andrich,9195.0,,,,,,2,From Throw In,Granit Xhaka,3500.0,Left Defensive Midfield,166,Bayer Leverkusen,904,['f5809120-105e-481e-b444-4c99da96672c'],14,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:43:14.813,Pass,
