,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
90,,,,,,,,,,,,,,,,,,0.971862,,,,,,,,,,,,73950e1c-c4c5-46d2-9b4b-9751c3c09646,277,,,"[50.0, 33.4]",3895052,5,,,,2.1652713,,Right Foot,,,"[40.4, 47.6]",,Ground Pass,,17.140594,,,,,Xavi Simons,39167.0,,,,,,1,From Throw In,Ikoma Loïs Openda,16275.0,Right Center Forward,16,RB Leipzig,182,['80b5572a-d2bf-4bac-ae05-1724682e6848'],20,,,,,,,,,,,,,,,,,RB Leipzig,182,00:05:20.091,Pass,
91,,,,,,,,,,,,,,,,,,2.908279,,,,,,,,,,,,67b350e2-a656-4ee2-ba54-6a99f81f12a6,280,,,"[42.0, 50.9]",3895052,5,,,,0.8077159,,Right Foot,,,"[63.9, 73.8]",,Ground Pass,,31.686275,,,,,Benjamin Henrichs,8211.0,,,,,,1,From Throw In,Xavi Simons,39167.0,Right Midfield,16,RB Leipzig,182,['f302d779-957c-4d6f-999d-e1b1a994308a'],22,,,,,,,,,,,,,,,,,RB Leipzig,182,00:05:22.207,Pass,
92,,,,,,,,,,,,,,,,,,0.707799,,,,,,,,,,,,a7b72d56-d15c-4956-8b4e-13e2463fdbd2,283,,,"[87.8, 63.7]",3895052,5,,,,-1.9868609,,Right Foot,,,"[84.0, 55.1]",,Ground Pass,,9.402127,,,,,Timo Werner,5557.0,,,,,,1,From Throw In,Benjamin Henrichs,8211.0,Right Back,16,RB Leipzig,182,['7c1f4235-c549-44da-93be-fb25beb18c72'],29,,,,,,,,,,,,,,,,,RB Leipzig,182,00:05:29.404,Pass,
93,,,,,,,,,,,,,,,,,,1.587997,,,,,,,,,,,,57a158a9-efa6-45c3-ac61-da3f76ba1181,286,,,"[84.6, 53.9]",3895052,5,,,,1.6183795,,Right Foot,,,"[84.2, 62.3]",,Ground Pass,,8.409518,,,,,Xavi Simons,39167.0,,,,,,1,From Throw In,Timo Werner,5557.0,Left Midfield,16,RB Leipzig,182,['71bb5b43-2991-4382-a5d2-dc3741253572'],30,,,,,,,,,,,,,,,,,RB Leipzig,182,00:05:30.112,Pass,
94,,,,,,,,,,,,,,,,,,0.520801,,,,,,,,,,,,075c0693-e1c7-4b91-b807-d4a145a3463b,290,,,"[84.6, 62.5]",3895052,5,,,,1.0725713,,Right Foot,,,"[91.4, 75.0]",,Ground Pass,,14.229898,,,,,Ikoma Loïs Openda,16275.0,,,,,,1,From Throw In,Xavi Simons,39167.0,Right Midfield,16,RB Leipzig,182,"['377f51e4-5ee6-4008-8d75-0027bc896355', '43fe8ca2-b942-4723-aa5a-66d12ca2871d']",32,,,,,,,,,,,,,,,,,RB Leipzig,182,00:05:32.224,Pass,True
95,,,,,,,,,,,,,,,,,,0.582174,,,,,,,,,,,,17daec9d-d530-4267-a9b4-fba1cefc65a9,293,,,"[90.9, 76.5]",3895052,5,,,,-1.1071488,,Right Foot,,,"[96.1, 66.1]",,Ground Pass,,11.627554,,,,,Xavi Simons,39167.0,,,,,,1,From Throw In,Ikoma Loïs Openda,16275.0,Right Center Forward,16,RB Leipzig,182,['4fc8ca15-dded-40c3-a2a1-be06f304fa8e'],33,,,,,,,,,,,,,,,,,RB Leipzig,182,00:05:33.847,Pass,
96,,,,,,,,,,,,,,,,,,0.671246,,,,,,,,,,,,0846214e-8df7-4642-9a0d-9efa7eaf5e2e,295,,,"[96.5, 65.3]",3895052,5,,,,0.90975314,,Right Foot,,,"[102.1, 72.5]",,Ground Pass,,9.121404,,,,,Benjamin Henrichs,8211.0,,,,,,1,From Throw In,Xavi Simons,39167.0,Right Midfield,16,RB Leipzig,182,['5c354025-43e2-4d92-806e-430504d2a1ef'],34,,,,,,,,,,,,,,,,,RB Leipzig,182,00:05:34.429,Pass,
97,,,,,,,,,,,,,,,,,,3.256699,,,,,,,,,,,,7b49350d-f92c-4f31-a372-4aebb65efd24,298,,,"[106.6, 74.2]",3895052,5,,,,-1.0420235,,Right Foot,,,"[117.0, 56.4]",,Ground Pass,,20.615528,,,Incomplete,,Xavi Simons,39167.0,,,,,,1,From Throw In,Benjamin Henrichs,8211.0,Right Back,16,RB Leipzig,182,"['1d1c5374-b3eb-468f-9da5-5af9220eb450', 'f7a5cf2b-d965-4472-9fb4-c60e51e5c022']",36,,,,,,,,,,,,,,,,,RB Leipzig,182,00:05:36.235,Pass,
98,,,,,,,,,,,,,,,,,,1.798307,,,,,,,,,,,,3f516b22-ee40-4efe-a6a4-6b76dec2ed43,301,,,"[5.5, 29.7]",3895052,5,True,,,-0.74807113,,Keeper Arm,,,"[18.0, 18.1]",,Ground Pass,,17.053152,,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,Regular Play,Lukáš Hrádecký,8667.0,Goalkeeper,17,Bayer Leverkusen,904,['aa7bac1a-585b-4860-8a08-dccac94ceef6'],47,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:05:47.932,Pass,
99,,,,,,,,,,,,,,,,,,0.967412,,,,,,,,,,,,255d6e3d-7309-485e-ad7b-8fa794aa5b9e,303,,,"[15.6, 16.1]",3895052,5,,,,-0.6095679,,Right Foot,,,"[27.2, 8.0]",,Ground Pass,,14.148145,,,,,Granit Xhaka,3500.0,,,,,,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,17,Bayer Leverkusen,904,['0674a04b-50d5-4a36-b451-937df82b0b82'],50,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:05:50.656,Pass,
100,,,,,,,,,,,,,,,,,,0.977644,,,,,,,,,,,,6cbd006a-52e4-4a4c-93c1-c5704aeb8549,306,,,"[38.8, 9.2]",3895052,5,,,,-0.9802621,,Left Foot,,,"[44.9, 0.1]",,Ground Pass,,10.955364,,,,,Alejandro Grimaldo García,10336.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,17,Bayer Leverkusen,904,['edf1a557-c2a7-42cc-ae0f-78d824ad78ca'],57,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:05:57.715,Pass,
101,,,,,,,,,,,,,,,,,,1.690253,,,,,,,,,,,,de72c156-22fc-4732-889a-d7c7e5f73bdc,309,,,"[43.8, 1.3]",3895052,5,,,,2.6649587,,Left Foot,,,"[28.5, 9.2]",,Ground Pass,,17.219175,,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,Regular Play,Alejandro Grimaldo García,10336.0,Left Wing Back,17,Bayer Leverkusen,904,['6e770056-0d66-4c82-9be5-1b5ca3bc8fea'],58,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:05:58.772,Pass,
102,,,,,,,,,,,,,,,,,,0.824181,,,,,,,,,,,,aa8f36fc-cb33-4568-b372-7c1c883c17a0,312,,,"[32.5, 16.2]",3895052,6,,,,0.07047135,,Right Foot,,,"[41.0, 16.8]",,Ground Pass,,8.521151,,,,,Granit Xhaka,3500.0,,,,,,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,17,Bayer Leverkusen,904,['2e0ee3af-b22d-44f1-9021-f28ef06bac68'],2,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:02.875,Pass,
103,,,,,,,,,,,,,,,,,,1.167802,,,,,,,,,,,,c113e55e-e19b-4e04-a5ab-a22df4b23459,316,,,"[42.8, 14.8]",3895052,6,,,,3.057756,,Left Foot,,,"[30.9, 15.8]",,Ground Pass,,11.941943,,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,17,Bayer Leverkusen,904,"['1974342f-bb31-4283-bc10-0840f8cebf69', 'ab665f76-99ca-4836-8208-121ace3a0685']",3,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:03.994,Pass,True
104,,,,,,,,,,,,,,,,,,1.530264,,,,,,,,,,,,e229d5e9-5dd7-4fde-9e62-25288d6862d7,319,,,"[32.1, 17.2]",3895052,6,,,,0.3727042,,Right Foot,,,"[45.4, 22.4]",,Ground Pass,,14.280406,,,,,Exequiel Alejandro Palacios,28268.0,,,,,,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,17,Bayer Leverkusen,904,['14fdaead-f14c-4958-bcb0-8ea822d3f0a8'],5,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:05.492,Pass,
105,,,,,,,,,,,,,,,,,,0.750998,,,,,,,,,,,,443e9fed-714c-4727-aa02-cedc2fed2a87,323,,,"[48.4, 19.4]",3895052,6,,,,-0.9600704,,Right Foot,,,"[52.6, 13.4]",,Ground Pass,,7.3239336,,,,,Florian Wirtz,40724.0,,,,,,1,Regular Play,Exequiel Alejandro Palacios,28268.0,Right Defensive Midfield,17,Bayer Leverkusen,904,"['9b1b6a91-9074-4e6b-afbe-bb2972ea26e6', 'df0eb700-15c2-427d-a67c-710a8be37b0a']",7,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:07.675,Pass,True
106,,,,,,,,,,,,,,,,,,0.931755,,,,,,,,,,,,5eb7c87e-b040-4122-89a4-8e5c755f3000,325,,,"[52.2, 13.4]",3895052,6,,,,2.1975393,,Right Foot,,,"[43.8, 25.0]",,Ground Pass,,14.322011,,,,,Granit Xhaka,3500.0,,,,,,1,Regular Play,Florian Wirtz,40724.0,Left Wing,17,Bayer Leverkusen,904,['e02e9d6a-4918-4c04-8e0a-195785fda561'],8,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:08.426,Pass,
107,,,,,,,,,,,,,,,,,,1.474477,,,,,,,,,,,,8306ea5b-2ee8-4812-b799-41913d44b2d0,328,,,"[45.0, 28.4]",3895052,6,,,,1.8345475,,Left Foot,,,"[38.6, 52.1]",,Ground Pass,,24.548931,,,,,Jonathan Tah,8221.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,17,Bayer Leverkusen,904,['d76eb5df-841c-4e79-9020-b73bf863e897'],10,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:10.209,Pass,
108,,,,,,,,,,,,,,,,,,1.073556,,,,,,,,,,,,b78a3204-6ab6-4642-9eb6-2bc2e4bf9a73,331,,,"[55.4, 55.0]",3895052,6,,,,1.1379873,,Right Foot,,,"[62.7, 70.8]",,Ground Pass,,17.404884,,,,,Odilon Kossonou,27133.0,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,17,Bayer Leverkusen,904,['d55c297a-ef77-40d2-bdef-fe4c2d5ff8f5'],14,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:14.673,Pass,
109,,,,,,,,,,,,,,,,,,1.086928,,,,,,,,,,,,6681da7c-cc5c-41c1-b23d-fc62cceccbc2,335,,,"[63.3, 73.4]",3895052,6,,,,0.25877088,,Right Foot,,,"[70.1, 75.2]",,Ground Pass,,7.034202,,,,,Jeremie Frimpong,32712.0,,,,,,1,Regular Play,Odilon Kossonou,27133.0,Right Center Back,17,Bayer Leverkusen,904,"['32d454a5-ba2d-49f5-a42b-7b2806ca8e6b', '3f7f838c-e47e-4d2e-93bc-549dc3dbc775']",16,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:16.459,Pass,True
110,,,,,,,,,,,,,,,,,,0.857744,,,,,,,,,,,,2519917b-2ff0-4fc2-b58e-8a3860da7a18,338,,,"[70.5, 75.0]",3895052,6,,,,-0.21214375,,Right Foot,,,"[83.5, 72.2]",,Ground Pass,,13.2981205,,,,,Jonas Hofmann,8804.0,,,,,,1,Regular Play,Jeremie Frimpong,32712.0,Right Wing Back,17,Bayer Leverkusen,904,['4c982c50-0315-4cdb-b6ab-133d786710bc'],18,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:18.020,Pass,
111,,,,,,,,,,,,,,,,,,0.976437,,,,,,,,,,,,b8e00e85-579c-4970-9759-fea3ab966db3,341,,,"[85.4, 73.4]",3895052,6,,,,-1.7008277,,Right Foot,,,"[83.7, 60.4]",,Ground Pass,,13.1106825,,,,,Florian Wirtz,40724.0,,,,,,1,Regular Play,Jonas Hofmann,8804.0,Right Wing,17,Bayer Leverkusen,904,['3eb22506-89d4-4230-96f4-0cc90241b0ef'],20,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:20.699,Pass,
112,,,,,,,,,,,,,,,,,,1.292884,,,,,,,,,,,,d64a401e-b7ba-490e-8d7b-550d85b01524,351,,,"[34.5, 22.5]",3895052,6,,,,0.8436655,,Left Foot,,,"[45.8, 35.2]",,High Pass,,16.999413,,,Incomplete,,Ikoma Loïs Openda,16275.0,,,,,,1,Regular Play,Daniel Olmo Carvajal,16532.0,Left Center Forward,17,Bayer Leverkusen,904,"['2154b166-8b00-45a6-b1bf-d8f805198128', 'cac05379-37e8-4c29-9857-deb1cd6a7e4e']",26,,,,,,,,,,,,,,,,,RB Leipzig,182,00:06:26.036,Pass,
113,,,,,,,,,,,,True,,,,,,1.088386,,,,,,,,,,,,cac05379-37e8-4c29-9857-deb1cd6a7e4e,353,,,"[74.3, 44.9]",3895052,6,,,,1.6033052,,Right Foot,,,"[73.9, 57.2]",,Low Pass,,12.306502,,,,,Granit Xhaka,3500.0,,,,,Interception,1,Regular Play,Exequiel Alejandro Palacios,28268.0,Right Defensive Midfield,17,Bayer Leverkusen,904,"['8b0f70fb-18e8-4a18-a575-608dcd3153f9', 'd64a401e-b7ba-490e-8d7b-550d85b01524']",27,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:27.329,Pass,
114,,,,,,,,,,,,,,,,,,1.492365,,,,,,,,,,,,1cdbf528-796c-47d9-bc87-2dc866f1541c,355,,,"[73.9, 57.8]",3895052,6,,,,-2.8233142,,Left Foot,,,"[56.6, 52.1]",,Ground Pass,,18.214828,,,,,Jonathan Tah,8221.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,17,Bayer Leverkusen,904,['466eccdb-c941-4f75-aff1-2944b1a59e3d'],28,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:28.417,Pass,
115,,,,,,,,,,,,,,,,,,1.38033,,,,,,,,,,,,cf1f3507-3298-4acb-b2fc-3dd68b5aad26,358,,,"[56.4, 43.5]",3895052,6,,,,-1.2357354,,Right Foot,,,"[68.9, 7.6]",,Ground Pass,,38.013947,,,,,Alejandro Grimaldo García,10336.0,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,17,Bayer Leverkusen,904,['08c3259d-c0ce-4c66-9aee-62de255259ae'],31,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:31.671,Pass,
116,,,,,,,,,,,,,,,,,,1.685797,,,,,,,,,,,,f57745b2-2c27-4f2f-8cb3-f369b5d2484f,361,,,"[81.7, 7.1]",3895052,6,,,,2.1628723,,Left Foot,,,"[74.1, 18.4]",,Ground Pass,,13.618003,,,,,Exequiel Alejandro Palacios,28268.0,,,,,,1,Regular Play,Alejandro Grimaldo García,10336.0,Left Wing Back,17,Bayer Leverkusen,904,['f4c96189-c3e2-4491-9e97-bb2016985024'],36,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:36.053,Pass,
117,,,,,,,,,,,,,,,,,,0.879405,,,,,,,,,,,,f2b67d17-7a41-4ad5-a4e8-4a273d22ae16,364,,,"[73.3, 18.4]",3895052,6,,,,0.7140907,,Right Foot,,,"[79.3, 23.6]",,Ground Pass,,7.939773,,,,,Victor Okoh Boniface,32289.0,,,,,,1,Regular Play,Exequiel Alejandro Palacios,28268.0,Right Defensive Midfield,17,Bayer Leverkusen,904,['69524811-4918-4785-923d-78184f785804'],38,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:06:38.543,Pass,
