,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
619,,,,,,,,,,,,,True,,,,,,0.694031,,,,,,,,,,,,41ac1430-cd1c-40ea-a2e9-4ac884210e32,2150,,,"[56.3, 68.9]",3895095,48,,,,,2.7610862,,Right Foot,,,,"[50.8, 71.1]",,Ground Pass,,5.9236813,,,Sepp van den Berg,15458.0,,,,,,Interception,2,Regular Play,Dominik Kohr,8207.0,Left Defensive Midfield,80,FSV Mainz 05,177,"['1123ed6a-e82c-4a40-8b1a-85ec67462109', '13cef002-dcb3-4581-a6f9-47979051a289']",5,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:03:05.497,Pass,
620,,,,,,,,,,,,,,,,,,,1.455829,,,,,,,,,,,,ddc863da-86f6-4d70-b69d-f4e7d83dd418,2154,,,"[49.1, 72.1]",3895095,48,,,,,0.13455324,,Right Foot,,,,"[72.0, 75.2]",,Low Pass,,23.108873,,,Danny Vieira da Costa,8676.0,,,,,,,2,Regular Play,Sepp van den Berg,15458.0,Right Center Back,80,FSV Mainz 05,177,"['1e2c53c1-cfdc-40db-99c0-6f091aa8167b', '534f1084-e706-48a4-9a87-e427937c7cb6']",7,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:03:07.178,Pass,True
621,,,,,,,,,,,,,,,,,,,0.390663,,,,,,,,,,,,96be72ee-85a5-42df-b96d-d44adec29e92,2158,,,"[77.6, 76.6]",3895095,48,,,,,-2.5252957,,Left Foot,,,,"[75.2, 74.9]",,Ground Pass,,2.9410882,Incomplete,,Karim Onisiwo,11278.0,,,,,,,2,Regular Play,Danny Vieira da Costa,8676.0,Right Wing Back,80,FSV Mainz 05,177,"['46dc3250-38d2-418d-8ccf-f3a3dfd0affc', 'a361103a-d800-4362-b64d-e746f079edcf', 'b6cc31d6-5cbf-4803-aa62-59fe74b5ec78']",11,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:03:11.266,Pass,True
622,,,,,,,,,,,,,,,,,,,0.870614,,,,,,,,,,,,5418a4b4-5791-49d0-a84f-e88b1d6fc73c,2162,,,"[50.8, 6.2]",3895095,48,,,,,-2.6882539,,Right Foot,,,,"[46.9, 4.3]",,Ground Pass,,4.3382025,,,Jonas Hofmann,8804.0,,,,,,Recovery,2,Regular Play,Victor Okoh Boniface,32289.0,Center Forward,81,Bayer Leverkusen,904,"['778c6c0c-cea1-450d-b9e5-3c5d9b2cd3bb', 'b149a2f1-97aa-4b27-94f9-84f74ad51114']",13,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:13.026,Pass,True
623,,,,,,,,,,,,,,,,,,,1.621453,,,,,,,,,,,,131707d4-45d0-4bc4-bf52-fc70efe671f0,2165,,,"[46.3, 4.3]",3895095,48,,,,,2.945787,,Left Foot,,,,"[34.2, 6.7]",,Ground Pass,,12.33572,,,Alejandro Grimaldo García,10336.0,,,,,,,2,Regular Play,Jonas Hofmann,8804.0,Left Attacking Midfield,81,Bayer Leverkusen,904,['c79c8c27-dac8-4b40-8338-ece966f91d70'],14,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:14.211,Pass,
624,,,,,,,,,,,,,,,,,,,2.27341,,,,,,,,,,,,af87875c-a50c-46f3-8482-66b19ac27729,2168,,,"[23.4, 12.9]",3895095,48,,,,,2.2404354,,Right Foot,,,,"[10.1, 29.7]",,Ground Pass,,21.427319,,,Lukáš Hrádecký,8667.0,,,,,,,2,Regular Play,Alejandro Grimaldo García,10336.0,Left Wing Back,81,Bayer Leverkusen,904,['f28a18c3-f982-4694-8aca-0715d4c8c19f'],17,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:17.387,Pass,
625,,,,,,,,,,,,,,,,,,,1.644939,,,,,,,,,,,,21902e76-d8dc-4dfa-b1ce-b979560b8ad9,2171,,,"[11.4, 32.9]",3895095,48,,,,,0.97704667,,Left Foot,,,,"[19.5, 44.9]",,Ground Pass,,14.477914,,,Jonathan Tah,8221.0,,,,,,,2,Regular Play,Lukáš Hrádecký,8667.0,Goalkeeper,81,Bayer Leverkusen,904,['9022d0aa-f5b9-4989-93f3-c928771d2579'],21,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:21.048,Pass,
626,,,,,,,,,,,,,,,,,,,1.233818,,,,,,,,,,,,846346ae-8354-40ed-a3b3-7e16618fbb76,2174,,,"[24.8, 50.1]",3895095,48,,,,,0.12184244,,Right Foot,,,,"[39.5, 51.9]",,Ground Pass,,14.809794,,,Granit Xhaka,3500.0,,,,,,,2,Regular Play,Jonathan Tah,8221.0,Center Back,81,Bayer Leverkusen,904,['b0e1ba23-a4bc-484b-95d2-51d95dc790ac'],24,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:24.247,Pass,
627,,,,,,,,,,,,,,,,,,,0.975547,,,,,,,,,,,,5cd70350-9f11-4952-8081-5e61628ca460,2177,,,"[50.0, 54.0]",3895095,48,,,,,-1.4711276,,Left Foot,,,,"[50.9, 45.0]",,Ground Pass,,9.0448885,,,Exequiel Alejandro Palacios,28268.0,,,,,,,2,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,81,Bayer Leverkusen,904,['41d4dbec-6f6e-414c-bc3d-de8598d19317'],28,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:28.821,Pass,
628,,,,,,,,,,,,,,,,,,,1.130979,,,,,,,,,,,,aa242290-1cff-4456-b671-f52424974d64,2180,,,"[50.5, 40.1]",3895095,48,,,,,-1.2298174,,Right Foot,,,,"[57.1, 21.5]",,Ground Pass,,19.736261,,,Jonas Hofmann,8804.0,,,,,,,2,Regular Play,Exequiel Alejandro Palacios,28268.0,Right Defensive Midfield,81,Bayer Leverkusen,904,['a107aa4c-2358-422d-8aa5-f1ab10789257'],31,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:31.837,Pass,
